step,mode,loss,angle_error(rad)
1,training,0.0,0.0
2,training,0.020087799,0.01724887453019619
3,training,0.025885576,0.01828615739941597
4,training,0.028665885,0.013040712103247643
5,training,0.026302278,0.24982503168284895
6,training,0.023421817,0.010878855362534523
7,training,0.021646561,0.1689469637349248
8,training,0.032185953,0.24393944162875414
9,training,0.02833337,0.009989704005420208
10,training,0.0228176,0.026627469807863235
11,training,0.02034132,0.026213621720671654
12,training,0.025362762,0.02771877683699131
13,training,0.028196622,0.20352711826562883
14,training,0.028837899,0.4040324740111828
15,training,0.07224815,0.6461964748799801
16,training,0.044238403,0.8127010680735112
17,training,0.09466232,0.684319543838501
18,training,0.023834148,0.04778594523668289
19,training,0.10456977,0.7291720800101757
20,training,0.06665984,0.6982641510665417
21,training,0.09339343,0.5183125212788582
22,training,0.14836255,0.09222841262817383
23,training,0.026589973,0.4279423266649246
24,training,0.09328232,0.3097631186246872
25,training,0.09844282,0.41773848235607147
26,training,0.06614504,0.3081299751996994
27,training,0.010077988,0.44076524674892426
28,training,0.14818023,0.4831581264734268
29,training,0.12224612,0.475445830821991
30,training,0.11776426,0.3936001807451248
31,training,0.070263155,0.18029745407402514
32,training,0.13388965,0.39576797336339953
33,training,0.1446465,0.32264272794127463
34,training,0.092164084,0.23968809843063354
35,training,0.061589602,0.2110857516527176
36,training,0.096696146,0.1447332501411438
37,training,0.06773544,0.08386628329753876
38,training,0.04994037,0.044307686388492584
39,training,0.13073868,0.019096998497843742
40,training,0.07076774,0.023482155054807663
41,training,0.020978,0.03171620890498161
42,training,0.047129028,0.04223930835723877
43,training,0.06883686,0.06605798751115799
44,training,0.0756848,0.08252409100532532
45,training,0.032082483,0.09225135296583176
46,training,0.048873756,0.09520231187343597
47,training,0.045075897,0.09200694411993027
48,training,0.04923945,0.054104939103126526
49,training,0.051908176,0.025463640689849854
50,training,0.0091645485,0.02078750915825367
51,training,0.03799347,0.015330096706748009
52,training,0.012953146,0.03868827223777771
53,training,0.019122029,0.04776379093527794
54,training,0.068496846,0.026405833661556244
55,training,0.053010393,0.03454675152897835
56,training,0.06113169,0.03503483906388283
57,training,0.02716178,0.011672301217913628
58,training,0.0030663882,0.07061393558979034
59,training,0.1521776,0.12284374982118607
60,training,0.046985533,0.10553313046693802
61,training,0.012246493,0.05700415372848511
62,training,0.038952693,0.0588168129324913
63,training,0.027026663,0.08317571878433228
64,training,0.11579227,0.08736194670200348
65,training,0.015700266,0.07266958057880402
66,training,0.049637493,0.07851450145244598
67,training,0.008873607,0.12171970307826996
68,training,0.03845504,0.14871282875537872
69,training,0.013734832,0.09838128834962845
70,training,0.047872342,0.029708947986364365
71,training,0.022685735,0.026467636227607727
72,training,0.022390397,0.042045097798109055
73,training,0.0562082,0.0848272442817688
74,training,0.01811384,0.0956142470240593
75,training,0.024631511,0.11972499638795853
76,training,0.0681702,0.05332830548286438
77,training,0.026119817,0.04442667849361897
78,training,0.03413961,0.026605826988816257
79,training,0.012505408,0.09722416587173938
80,training,0.00481079,0.1432965308427811
81,training,0.037993368,0.23982531130313872
82,training,0.0024289156,0.3289474070072174
83,training,0.0057353084,0.3145994395017624
84,training,0.02074538,0.47864759564399717
85,training,0.009841062,0.5678248427808285
86,training,0.012447441,0.09659484662115575
87,training,0.017332695,0.34006696939468384
88,training,0.006309124,0.07014438509941101
89,training,0.040571306,0.10609789192676544
90,training,0.041116502,0.11154183447360992
91,training,0.03720526,0.23460781574249268
92,training,0.023849422,0.149064838886261
93,training,0.021194857,0.0867595449090004
94,training,0.048548482,0.0732291117310524
95,training,0.0048657167,0.13855502009391785
96,training,0.015660452,0.17435245215892792
97,training,0.0050003342,0.18129022419452667
98,training,0.036242884,0.17820054292678833
99,training,0.028092537,0.23830442130565643
100,training,0.05391252,0.2310503540560603
101,training,0.004956372,0.07194758951663971
102,training,0.017678643,0.11303111314773562
103,training,0.0099478895,0.15321694314479828
104,training,0.0458487,0.057713642716407776
105,training,0.0066793887,0.05210709944367409
106,training,0.01765079,0.08313688635826111
107,training,0.058780897,0.10379669070243835
108,training,0.007475955,0.7712568879127503
109,training,0.020896925,0.8122413620352745
110,training,0.02274932,0.8564273171126843
111,training,0.036535494,0.8024354815483093
112,training,0.014523306,0.5341219693422318
113,training,0.009798502,0.5634552925825119
114,training,0.014104207,0.699657465517521
115,training,0.002232932,0.731175843346864
116,training,0.0019496025,0.7542433023452759
117,training,0.02231917,0.24840628262609243
118,training,0.10740632,0.04135356470942497
119,training,0.008707967,0.06225922387093305
120,training,0.037059423,0.0196083877235651
